frame_path,source_video,frame_index,timestamp_sec,sharpness
-iqlba7QYts_f000509.jpg,-iqlba7QYts.mp4,509,16.97,3323.8
-iqlba7QYts_f000825.jpg,-iqlba7QYts.mp4,825,27.5,3264.5
-iqlba7QYts_f001141.jpg,-iqlba7QYts.mp4,1141,38.03,2841.5
-iqlba7QYts_f001457.jpg,-iqlba7QYts.mp4,1457,48.57,2840.4
-iqlba7QYts_f001773.jpg,-iqlba7QYts.mp4,1773,59.1,3085.6
-iqlba7QYts_f002090.jpg,-iqlba7QYts.mp4,2090,69.67,1736.2
-iqlba7QYts_f002406.jpg,-iqlba7QYts.mp4,2406,80.2,1963.2
-iqlba7QYts_f002722.jpg,-iqlba7QYts.mp4,2722,90.73,1863.6
-iqlba7QYts_f003038.jpg,-iqlba7QYts.mp4,3038,101.27,1769.7
-iqlba7QYts_f003355.jpg,-iqlba7QYts.mp4,3355,111.83,1568.6
-iqlba7QYts_f003671.jpg,-iqlba7QYts.mp4,3671,122.37,1593.1
-iqlba7QYts_f003987.jpg,-iqlba7QYts.mp4,3987,132.9,50.9
-iqlba7QYts_f004303.jpg,-iqlba7QYts.mp4,4303,143.43,813.2
-iqlba7QYts_f004620.jpg,-iqlba7QYts.mp4,4620,154.0,2782.1
-iqlba7QYts_f004936.jpg,-iqlba7QYts.mp4,4936,164.53,2926.2
-iqlba7QYts_f005252.jpg,-iqlba7QYts.mp4,5252,175.07,3137.3
-iqlba7QYts_f005568.jpg,-iqlba7QYts.mp4,5568,185.6,3074.2
-iqlba7QYts_f005885.jpg,-iqlba7QYts.mp4,5885,196.17,3225.9
-iqlba7QYts_f006201.jpg,-iqlba7QYts.mp4,6201,206.7,2769.1
-iqlba7QYts_f006517.jpg,-iqlba7QYts.mp4,6517,217.23,2391.7
3dBzz0fOMsk_f001162.jpg,3dBzz0fOMsk.mp4,1162,19.69,555.9
3dBzz0fOMsk_f001883.jpg,3dBzz0fOMsk.mp4,1883,31.92,469.7
3dBzz0fOMsk_f002605.jpg,3dBzz0fOMsk.mp4,2605,44.15,515.5
3dBzz0fOMsk_f003326.jpg,3dBzz0fOMsk.mp4,3326,56.37,525.1
3dBzz0fOMsk_f004048.jpg,3dBzz0fOMsk.mp4,4048,68.61,553.9
3dBzz0fOMsk_f004769.jpg,3dBzz0fOMsk.mp4,4769,80.83,567.5
